|San Diego|US
Czestochowa University of Technology|Czestochowa|Poland
DA-IICT|Ahmedebad|India
"Dai Nippon Printing Co., Ltd.|Tokyo|Japan"
Dalhousie University|Halifax|Canada
Dalian Maritime University|Dalian|China
Danske Bank|Copenhagen|Denmark
Dartmouth College|Hanover|US
Data2Text|Aberdeen|UK
De Montfort University|Leicester|UK
Deakin University|Geelong|Australia
Delft University of Technology|Delft|The Netherlands
DePaul University|Chicago|US
"Dept. of Industrial Design, KAIST|Daejeon|Republic of Korea"
Design for Context|Bethesda|US
"Design Lab, University of Sydney|Sydney|Australia"
Designing Associates|San Francisco|US
"Deutsche Telekom Laboratories, TU Berlin|Berlin|Germany"
DFKI GmbH|Saarbrucken|Germany
DGA|Bagneux|France
DGAC DSNA|Toulouse|France
Dhirubhai Ambani Institute of Information and Communication Technology|Gandhinagar|India
DialogDesign|Stenlose|Denmark
Digital Contents Technologies|Taipei|Taiwan
Digital Enterprise Research Institute|Galway|Ireland
Digital Solutions|Billund|Denmark
Digital Solutions|New York|US
Digital World Research Centre|Guildford|UK
Dingwall Enterprises|Nottingham|UK
Direct Partners|Marina del Rey|US
Disney Research|Pittsburgh|US
DNP Information Systems|Shinjuku|Japan
"DPU - the danish scool of education, aarhus university|Copenhagen|Denmark"
"Dray & Associates, Inc.|Minneapolis|US"
Dresden University of Technology|Dresden|Germany
Drexel University|Philadelphia|US
DSV|Stockholm|Sweden
"DTU Informatics,  Cognitive systems|Lyngby|Denmark"
Duke University|Durham|US
Duquesne University|Pittsburgh|US
Durham University|Durham|UK
"e-Media Lab, Groep T - Leuven Engineering College|Leuven|Belgium"
East West University|Dhaka|Bangladesh
Eastman Kodak Co.|Rochester|US
Ecole Normale Superieure|Paris|France
EDF R&D|Clamart|France
"Edinburgh College of Art, Edinburgh University|Edinburgh|UK"
Edinburgh Napier University|Edinburgh|UK
Education.com|Redwood City|US
"EECS, UC Berkeley|Berkeley|US"
Eindhoven University of Technology|Eindhoven|The Netherlands
Electrical Engineering and Computer Science Department|Berkeley|US
Electrical Engineering and Computer Science Department|Berkeley|US
Electronic Arts|Burnaby|Canada
Elon University|Elon|US
Elsevier|St. Louis|US
EmailVision|Clichy|France
Emory University|Atlanta|US
"Empirical, Inc.|Portland|US"
ENAC|Toulouse|France
Energy Design|Eskilstuna|Sweden
ENIG|gabes|Tunisia
ENIS|Sfax|Tunisia
Ensimag|Grenoble|France
EPFL|Lausanne|Switzerland
Ericsson Research|Beijing|China
Esaote S.p.A.|Firenze|Italy
